id,sentiment,positive,negative,neutral
3343,Negative,0,2,0
3344,Negative,0,1,0
3345,Negative,0,1,0
3346,Positive,1,0,0
3347,Mixed,2,1,0
3348,Positive,2,0,0
3349,Neutral,0,0,1
3350,Neutral,0,0,1
3351,Neutral,0,0,1
3352,Positive,1,0,0
3353,Negative,0,1,1
3354,Negative,0,1,1
3355,Negative,0,1,0
3356,Neutral,0,0,1
3357,Positive,1,0,1
3358,Neutral,0,0,1
3359,Neutral,0,0,1
3360,Positive,1,0,1
3361,Negative,0,1,0
3362,Neutral,0,0,1
3363,Neutral,0,0,1
3364,Negative,0,1,0
3365,Positive,2,0,2
3366,Negative,0,1,0
3367,Neutral,0,0,1
3368,Neutral,0,0,1
3369,Neutral,0,0,1
3370,Positive,1,0,0
3371,Negative,0,1,1
3372,Positive,1,0,2
3373,Negative,0,1,1
3374,Negative,0,1,1
3375,Neutral,0,0,1
3376,Neutral,0,0,1
3377,Neutral,0,0,1
3378,Neutral,0,0,1
3379,Neutral,0,0,1
3380,Negative,0,1,2
3381,Positive,3,0,2
3382,Neutral,0,0,1
3383,Neutral,0,0,1
3384,Negative,0,1,3
3385,Neutral,0,0,1
3386,Neutral,0,0,1
3387,Neutral,0,0,1
3388,Neutral,0,0,1
3389,Neutral,0,0,1
3390,Neutral,0,0,1
3391,Neutral,0,0,1
3392,Positive,1,0,1
3393,Neutral,0,0,1
3394,Neutral,0,0,1
3395,Neutral,0,0,1
3396,Neutral,0,0,1
3397,Neutral,0,0,1
3398,Negative,0,1,0
3399,Neutral,0,0,1
3400,Positive,1,0,0
3401,Neutral,0,0,2
3402,Neutral,0,0,1
3403,Neutral,0,0,1
3404,Neutral,0,0,1
3405,Negative,0,1,0
3406,Neutral,0,0,1
3407,Positive,1,0,0
3408,Neutral,0,0,2
3409,Neutral,0,0,2
3410,Positive,1,0,2
3411,Neutral,0,0,1
3412,Negative,0,1,1
3413,Neutral,0,0,2
3414,Neutral,0,0,1
3415,Negative,0,1,2
3416,Negative,0,1,0
3417,Neutral,0,0,1
3418,Negative,0,1,0
3419,Neutral,0,0,1
3420,Positive,1,0,0
3421,Positive,1,0,0
3422,Neutral,0,0,1
3423,Neutral,0,0,1
3424,Positive,1,0,1
3425,Negative,0,1,2
3426,Negative,0,2,1
3427,Mixed,2,1,2
3428,Neutral,0,0,2
3429,Negative,0,1,1
3430,Positive,1,0,0
3431,Negative,0,1,3
3432,Negative,0,1,1
3433,Positive,1,0,1
3434,Mixed,3,3,1
3435,Neutral,0,0,1
3436,Mixed,1,3,1
3437,Neutral,0,0,2
3438,Negative,0,1,1
3439,Negative,0,2,3
3440,Neutral,0,0,1
3441,Neutral,0,0,1
3442,Mixed,1,1,0
3443,Mixed,1,1,2
3444,Neutral,0,0,2
3445,Neutral,0,0,1
3446,Mixed,1,1,0
3447,Neutral,0,0,1
3448,Negative,0,1,3
3449,Negative,0,2,0
3450,Negative,0,1,0
3451,Neutral,0,0,4
3452,Neutral,0,0,1
3453,Mixed,1,1,0
3454,Negative,0,1,0
3455,Negative,0,1,0
3456,Neutral,0,0,1
3457,Neutral,0,0,1
3458,Positive,2,0,1
3459,Negative,0,1,2
3460,Neutral,0,0,1
3461,Negative,0,1,1
3462,Negative,0,1,0
3463,Positive,1,0,1
3464,Neutral,0,0,1
3465,Negative,0,1,0
3466,Neutral,0,0,1
3467,Positive,1,0,0
3468,Neutral,0,0,1
3469,Negative,0,1,0
3470,Neutral,0,0,2
3471,Negative,0,1,0
3472,Neutral,0,0,1
3473,Neutral,0,0,1
3474,Neutral,0,0,1
3475,Negative,0,1,0
3476,Neutral,0,0,1
3477,Positive,1,0,1
3478,Neutral,0,0,1
3479,Negative,0,1,0
3480,Positive,1,0,1
3481,Negative,0,1,1
3482,Neutral,0,0,1
3483,Mixed,1,1,0
3484,Neutral,0,0,1
3485,Neutral,0,0,2
3486,Positive,1,0,0
3487,Neutral,0,0,1
3488,Neutral,0,0,2
3489,Neutral,0,0,1
3490,Neutral,0,0,3
3491,Negative,0,2,1
3492,Neutral,0,0,1
3493,Neutral,0,0,1
3494,Neutral,0,0,1
3495,Neutral,0,0,1
3496,Positive,1,0,0
3497,Neutral,0,0,1
3498,Negative,0,1,2
3499,Negative,0,1,0
3500,Neutral,0,0,1
3501,Neutral,0,0,1
3502,Neutral,0,0,1
3503,Neutral,0,0,5
3504,Neutral,0,0,1
3505,Neutral,0,0,1
3506,Neutral,0,0,1
3507,Neutral,0,0,1
3508,Neutral,0,0,1
3509,Neutral,0,0,1
3510,Neutral,0,0,1
3511,Positive,1,0,3
3512,Negative,0,1,3
3513,Negative,0,1,2
3514,Neutral,0,0,1
3515,Negative,0,1,0
3516,Neutral,0,0,2
3517,Positive,1,0,1
3518,Negative,0,2,2
3519,Neutral,0,0,1
3520,Neutral,0,0,1
3521,Mixed,1,1,0
3522,Negative,0,2,1
3523,Neutral,0,0,2
3524,Negative,0,1,1
3525,Positive,1,0,1
3526,Negative,0,1,0
3527,Neutral,0,0,2
3528,Neutral,0,0,1
3529,Positive,1,0,1
3530,Negative,0,1,1
3531,Positive,1,0,0
3532,Neutral,0,0,3
3533,Negative,0,2,0
3534,Positive,1,0,2
3535,Neutral,0,0,2
3536,Positive,2,0,0
3537,Positive,1,0,5
3538,Negative,0,1,4
3539,Positive,1,0,0
3540,Positive,1,0,0
3541,Mixed,1,2,0
3542,Positive,1,0,0
3543,Negative,0,1,0
3544,Negative,0,1,3
3545,Positive,1,0,1
3546,Negative,0,1,0
3547,Negative,0,1,2
3548,Neutral,0,0,1
3549,Neutral,0,0,2
3550,Positive,2,0,1
3551,Neutral,0,0,2
3552,Negative,0,1,1
3553,Negative,0,2,1
3554,Neutral,0,0,1
3555,Neutral,0,0,2
3556,Negative,0,1,0
3557,Positive,1,0,1
3558,Positive,1,0,5
3559,Positive,2,0,3
3560,Negative,0,1,0
3561,Positive,1,0,1
3562,Negative,0,1,0
3563,Mixed,1,1,0
3564,Neutral,0,0,2
3565,Neutral,0,0,2
3566,Neutral,0,0,3
3567,Negative,0,1,2
3568,Negative,0,2,1
3569,Neutral,0,0,2
3570,Negative,0,1,0
3571,Neutral,0,0,3
3572,Negative,0,1,2
3573,Neutral,0,0,1
3574,Neutral,0,0,2
3575,Negative,0,1,2
3576,Negative,0,1,2
3577,Mixed,1,1,1
3578,Neutral,0,0,1
3579,Negative,0,1,0
3580,Negative,0,1,1
3581,Neutral,0,0,1
3582,Positive,1,0,1
3583,Neutral,0,0,2
3584,Neutral,0,0,2
3585,Positive,1,0,0
3586,Positive,1,0,0
3587,Positive,1,0,0
3588,Positive,1,0,0
3589,Negative,0,1,0
3590,Neutral,0,0,3
3591,Positive,1,0,1
3592,Neutral,0,0,3
3593,Positive,1,0,1
3594,Positive,1,0,0
3595,Positive,1,0,1
3596,Positive,2,0,1
3597,Neutral,0,0,1
3598,Neutral,0,0,1
3599,Negative,0,1,0
3600,Positive,1,0,0
3601,Positive,1,0,1
3602,Neutral,0,0,2
3603,Neutral,0,0,1
3604,Neutral,0,0,1
3605,Positive,2,0,2
3606,Negative,0,1,0
3607,Positive,2,0,0
3608,Mixed,1,1,1
3609,Negative,0,1,1
3610,Positive,1,0,1
3611,Positive,2,0,0
3612,Neutral,0,0,1
3613,Neutral,0,0,1
3614,Neutral,0,0,1
3615,Positive,1,0,1
3616,Neutral,0,0,1
3617,Negative,0,1,0
3618,Positive,1,0,3
3619,Neutral,0,0,3
3620,Negative,0,1,1
3621,Neutral,0,0,2
3622,Positive,2,0,2
3623,Neutral,0,0,2
3624,Positive,1,0,2
3625,Positive,2,0,1
3626,Negative,0,1,0
3627,Negative,0,1,0
3628,Neutral,0,0,2
3629,Positive,1,0,0
3630,Mixed,1,1,0
3631,Positive,1,0,3
3632,Neutral,0,0,1
3633,Negative,0,1,0
3634,Neutral,0,0,2
3635,Mixed,1,1,0
3636,Neutral,0,0,3
3637,Neutral,0,0,1
3638,Negative,0,1,0
3639,Positive,2,0,2
3640,Negative,0,2,1
3641,Negative,0,1,1
3642,Neutral,0,0,1
3643,Neutral,0,0,1
3644,Neutral,0,0,2
3645,Neutral,0,0,1
3646,Neutral,0,0,1
3647,Neutral,0,0,1
3648,Negative,0,1,0
3649,Neutral,0,0,1
3650,Neutral,0,0,2
3651,Neutral,0,0,1
3652,Neutral,0,0,1
3653,Neutral,0,0,3
3654,Neutral,0,0,1
3655,Neutral,0,0,1
3656,Neutral,0,0,1
3657,Neutral,0,0,1
3658,Neutral,0,0,1
3659,Neutral,0,0,1
3660,Neutral,0,0,1
3661,Negative,0,1,0
3662,Neutral,0,0,1
3663,Neutral,0,0,1
3664,Neutral,0,0,1
3665,Neutral,0,0,1
3666,Neutral,0,0,1
3667,Neutral,0,0,1
3668,Neutral,0,0,1
3669,Neutral,0,0,1
3670,Neutral,0,0,1
3671,Neutral,0,0,1
3672,Neutral,0,0,1
3673,Neutral,0,0,1
3674,Neutral,0,0,1
3675,Neutral,0,0,1
3676,Neutral,0,0,1
3677,Neutral,0,0,1
3678,Neutral,0,0,1
3679,Neutral,0,0,1
3680,Neutral,0,0,1
3681,Neutral,0,0,1
3682,Negative,0,1,0
3683,Neutral,0,0,2
3684,Neutral,0,0,1
3685,Neutral,0,0,1
3686,Neutral,0,0,1
3687,Negative,0,1,0
3688,Neutral,0,0,1
3689,Neutral,0,0,1
3690,Positive,1,0,1
3691,Neutral,0,0,1
3692,Neutral,0,0,1
3693,Negative,0,1,0
3694,Positive,1,0,0
3695,Positive,2,0,0
3696,Neutral,0,0,1
3697,Negative,0,1,0
3698,Neutral,0,0,1
3699,Neutral,0,0,1
3700,Neutral,0,0,1
3701,Neutral,0,0,1
3702,Positive,1,0,0
3703,Neutral,0,0,1
3704,Neutral,0,0,1
3705,Negative,0,1,0
3706,Negative,0,1,0
3707,Neutral,0,0,1
3708,Neutral,0,0,1
3709,Negative,0,1,0
3710,Mixed,2,1,1
3711,Negative,0,1,0
3712,Neutral,0,0,1
3713,Neutral,0,0,1
3714,Neutral,0,0,1
3715,Neutral,0,0,1
3716,Neutral,0,0,1
3717,Neutral,0,0,1
3718,Neutral,0,0,1
3719,Neutral,0,0,1
3720,Neutral,0,0,1
3721,Negative,0,1,0
3722,Neutral,0,0,1
3723,Neutral,0,0,1
3724,Neutral,0,0,1
3725,Neutral,0,0,1
3726,Neutral,0,0,1
3727,Neutral,0,0,1
3728,Neutral,0,0,3
3729,Negative,0,1,0
3730,Positive,2,0,0
3731,Neutral,0,0,1
3732,Neutral,0,0,1
3733,Neutral,0,0,1
3734,Neutral,0,0,1
3735,Neutral,0,0,1
3736,Neutral,0,0,1
3737,Neutral,0,0,2
3738,Neutral,0,0,3
3739,Negative,0,1,0
3740,Negative,0,2,1
3741,Neutral,0,0,2
3742,Negative,0,1,3
3743,Positive,1,0,0
3744,Negative,0,1,3
3745,Mixed,1,1,1
3746,Neutral,0,0,1
3747,Negative,0,1,0
3748,Neutral,0,0,1
3749,Neutral,0,0,2
3750,Neutral,0,0,3
3751,Neutral,0,0,1
3752,Neutral,0,0,1
3753,Neutral,0,0,1
3754,Neutral,0,0,1
3755,Neutral,0,0,1
3756,Neutral,0,0,1
3757,Neutral,0,0,1
3758,Neutral,0,0,1
3759,Neutral,0,0,1
3760,Positive,1,0,1
3761,Neutral,0,0,1
3762,Positive,2,0,2
3763,Mixed,1,1,0
3764,Neutral,0,0,1
3765,Neutral,0,0,2
3766,Positive,2,0,0
3767,Neutral,0,0,3
3768,Positive,1,0,1
3769,Positive,2,0,2
3770,Mixed,1,1,3
3771,Positive,1,0,0
3772,Neutral,0,0,1
3773,Positive,1,0,2
3774,Negative,0,1,3
3775,Neutral,0,0,1
3776,Negative,0,1,2
3777,Positive,1,0,1
3778,Neutral,0,0,1
3779,Negative,0,1,1
3780,Neutral,0,0,2
3781,Neutral,0,0,2
3782,Neutral,0,0,1
3783,Neutral,0,0,2
3784,Neutral,0,0,1
3785,Neutral,0,0,1
3786,Neutral,0,0,1
3787,Neutral,0,0,1
3788,Neutral,0,0,1
3789,Neutral,0,0,1
3790,Neutral,0,0,1
3791,Negative,0,1,1
3792,Positive,1,0,2
3793,Neutral,0,0,1
3794,Positive,1,0,0
3795,Neutral,0,0,1
3796,Positive,1,0,0
3797,Positive,1,0,1
3798,Neutral,0,0,1
3799,Negative,0,1,1
3800,Neutral,0,0,2
3801,Neutral,0,0,2
3802,Neutral,0,0,1
3803,Neutral,0,0,2
3804,Neutral,0,0,1
3805,Neutral,0,0,1
3806,Neutral,0,0,1
3807,Neutral,0,0,1
3808,Neutral,0,0,1
3809,Neutral,0,0,1
3810,Neutral,0,0,1
3811,Negative,0,1,1
3812,Positive,1,0,2
3813,Neutral,0,0,1
3814,Positive,1,0,0
3815,Neutral,0,0,1
3816,Positive,1,0,0
3817,Positive,3,0,0
3818,Neutral,0,0,2
3819,Neutral,0,0,3
3820,Neutral,0,0,2
3821,Positive,1,0,1
3822,Positive,1,0,0
3823,Neutral,0,0,1
3824,Positive,1,0,1
3825,Neutral,0,0,1
3826,Positive,2,0,0
3827,Neutral,0,0,3
3828,Neutral,0,0,1
3829,Neutral,0,0,1
3830,Neutral,0,0,1
3831,Neutral,0,0,1
3832,Positive,2,0,1
3833,Mixed,2,1,3
3834,Neutral,0,0,4
3835,Negative,0,1,1
3836,Negative,0,1,1
3837,Positive,1,0,0
3838,Negative,0,2,0
3839,Positive,1,0,0
3840,Negative,0,1,1
3841,Negative,0,1,0
3842,Negative,0,1,0
3843,Positive,1,0,2
3844,Neutral,0,0,1
3845,Negative,0,1,3
3846,Negative,0,2,0
3847,Neutral,0,0,1
3848,Negative,0,1,1
3849,Neutral,0,0,2
3850,Neutral,0,0,2
3851,Neutral,0,0,4
3852,Positive,1,0,1
3853,Mixed,1,1,0
3854,Neutral,0,0,4
3855,Positive,1,0,0
3856,Negative,0,1,2
3857,Negative,0,1,2
3858,Neutral,0,0,1
3859,Neutral,0,0,1
3860,Neutral,0,0,1
3861,Positive,1,0,2
3862,Neutral,0,0,1
3863,Positive,1,0,0
3864,Positive,2,0,3
3865,Neutral,0,0,1
3866,Neutral,0,0,1
3867,Neutral,0,0,2
3868,Neutral,0,0,1
3869,Neutral,0,0,1
3870,Neutral,0,0,1
3871,Neutral,0,0,1
3872,Neutral,0,0,1
3873,Neutral,0,0,1
3874,Neutral,0,0,1
3875,Neutral,0,0,1
3876,Neutral,0,0,1
3877,Neutral,0,0,1
3878,Negative,0,1,1
3879,Neutral,0,0,1
3880,Positive,1,0,0
3881,Negative,0,1,2
3882,Positive,2,0,4
3883,Positive,1,0,1
3884,Positive,2,0,0
3885,Neutral,0,0,2
3886,Negative,0,1,1
3887,Neutral,0,0,1
3888,Positive,1,0,0
3889,Negative,0,1,2
3890,Neutral,0,0,1
3891,Negative,0,1,1
3892,Positive,1,0,0
3893,Negative,0,1,0
3894,Negative,0,2,2
3895,Mixed,1,1,0
3896,Neutral,0,0,2
3897,Positive,2,0,3
3898,Neutral,0,0,1
3899,Positive,1,0,0
3900,Neutral,0,0,1
3901,Neutral,0,0,2
3902,Negative,0,1,0
3903,Positive,3,0,0
3904,Negative,0,2,2
3905,Negative,0,1,1
3906,Negative,0,1,1
3907,Negative,0,2,1
3908,Neutral,0,0,1
3909,Neutral,0,0,3
3910,Neutral,0,0,2
3911,Neutral,0,0,1
3912,Positive,1,0,0
3913,Negative,0,1,0
3914,Neutral,0,0,1
3915,Negative,0,1,0
3916,Positive,1,0,2
3917,Positive,1,0,0
3918,Negative,0,2,0
3919,Negative,0,1,3
3920,Negative,0,1,3
3921,Positive,1,0,0
3922,Neutral,0,0,1
3923,Neutral,0,0,1
3924,Neutral,0,0,1
3925,Positive,1,0,0
3926,Mixed,1,2,0
3927,Neutral,0,0,1
3928,Neutral,0,0,1
3929,Neutral,0,0,1
3930,Neutral,0,0,1
3931,Neutral,0,0,1
3932,Positive,1,0,0
3933,Mixed,1,2,0
3934,Negative,0,1,0
3935,Positive,2,0,1
3936,Mixed,1,1,2
3937,Negative,0,1,0
3938,Mixed,1,1,3
3939,Neutral,0,0,1
3940,Positive,1,0,2
3941,Neutral,0,0,1
3942,Neutral,0,0,2
3943,Neutral,0,0,1
3944,Neutral,0,0,1
3945,Neutral,0,0,2
3946,Neutral,0,0,1
3947,Neutral,0,0,1
3948,Positive,2,0,2
3949,Neutral,0,0,1
3950,Neutral,0,0,1
3951,Positive,3,0,0
3952,Neutral,0,0,1
3953,Neutral,0,0,1
3954,Neutral,0,0,1
3955,Neutral,0,0,1
3956,Negative,0,1,0
3957,Neutral,0,0,1
3958,Neutral,0,0,1
3959,Neutral,0,0,1
3960,Negative,0,1,0
3961,Neutral,0,0,1
3962,Neutral,0,0,2
3963,Positive,1,0,1
3964,Positive,1,0,0
3965,Negative,0,1,1
3966,Mixed,1,1,1
3967,Mixed,1,1,1
3968,Neutral,0,0,2
3969,Negative,0,1,1
3970,Negative,0,1,0
3971,Neutral,0,0,2
3972,Negative,0,1,2
3973,Neutral,0,0,2
3974,Neutral,0,0,2
3975,Mixed,1,1,0
3976,Mixed,1,1,1
3977,Positive,1,0,0
3978,Positive,1,0,1
3979,Neutral,0,0,2
3980,Neutral,0,0,1
3981,Negative,0,2,1
3982,Positive,1,0,0
3983,Neutral,0,0,3
3984,Negative,0,2,2
3985,Neutral,0,0,5
3986,Neutral,0,0,2
3987,Negative,0,1,1
3988,Mixed,2,1,0
3989,Negative,0,1,0
3990,Mixed,1,3,0
3991,Neutral,0,0,1
3992,Mixed,2,1,2
3993,Positive,1,0,0
3994,Negative,0,1,0
3995,Positive,1,0,2
3996,Positive,2,0,0
3997,Negative,0,2,1
3998,Neutral,0,0,1
3999,Positive,1,0,1
4000,Positive,2,0,1
4001,Neutral,0,0,2
4002,Positive,1,0,0
4003,Positive,2,0,1
4004,Neutral,0,0,3
4005,Neutral,0,0,1
4006,Negative,0,1,1
4007,Positive,2,0,1
4008,Positive,2,0,1
4009,Neutral,0,0,1
4010,Negative,0,2,0
4011,Neutral,0,0,1
4012,Negative,0,1,0
4013,Positive,1,0,0
4014,Neutral,0,0,2
4015,Mixed,1,1,2
4016,Positive,1,0,1
4017,Positive,1,0,0
4018,Mixed,2,1,1
4019,Negative,0,1,0
4020,Positive,2,0,1
4021,Neutral,0,0,1
4022,Negative,0,1,3
4023,Neutral,0,0,1
4024,Neutral,0,0,1
4025,Negative,0,2,0
4026,Mixed,2,2,0
4027,Negative,0,1,0
4028,Negative,0,2,1
4029,Neutral,0,0,2
4030,Mixed,1,1,2
4031,Negative,0,1,0
4032,Positive,1,0,1
4033,Neutral,0,0,1
4034,Positive,2,0,2
4035,Negative,0,1,0
4036,Positive,1,0,0
4037,Neutral,0,0,1
4038,Positive,1,0,0
4039,Positive,1,0,0
4040,Neutral,0,0,3
4041,Positive,1,0,1
4042,Neutral,0,0,1
4043,Neutral,0,0,1
4044,Negative,0,1,0
4045,Neutral,0,0,1
4046,Neutral,0,0,1
4047,Neutral,0,0,2
4048,Positive,1,0,2
4049,Negative,0,2,2
4050,Neutral,0,0,1
4051,Negative,0,1,1
4052,Neutral,0,0,1
4053,Neutral,0,0,1
4054,Neutral,0,0,1
4055,Neutral,0,0,1
4056,Neutral,0,0,1
4057,Negative,0,1,0
4058,Negative,0,1,1
4059,Positive,1,0,0
4060,Positive,1,0,0
4061,Negative,0,1,3
4062,Neutral,0,0,1
4063,Negative,0,1,0
4064,Negative,0,1,2
4065,Mixed,1,1,1
4066,Mixed,1,1,2
4067,Neutral,0,0,1
4068,Neutral,0,0,1
4069,Negative,0,2,0
4070,Positive,1,0,1
4071,Neutral,0,0,1
4072,Neutral,0,0,1
4073,Neutral,0,0,1
4074,Negative,0,1,1
4075,Neutral,0,0,1
4076,Positive,2,0,0
4077,Neutral,0,0,1
4078,Neutral,0,0,1
4079,Neutral,0,0,1
4080,Mixed,1,1,1
4081,Neutral,0,0,1
4082,Neutral,0,0,1
4083,Positive,1,0,0
4084,Neutral,0,0,1
4085,Negative,0,1,0
4086,Neutral,0,0,1
4087,Neutral,0,0,1
4088,Mixed,3,1,0
4089,Negative,0,1,1
4090,Positive,2,0,0
4091,Negative,0,1,1
4092,Neutral,0,0,3
4093,Negative,0,1,3
4094,Neutral,0,0,3
4095,Neutral,0,0,1
4096,Positive,1,0,1
4097,Negative,0,1,0
4098,Positive,1,0,0
4099,Positive,1,0,2
4100,Positive,1,0,0
4101,Negative,0,2,4
4102,Mixed,1,1,1
4103,Positive,2,0,0
4104,Negative,0,1,1
4105,Positive,1,0,0
4106,Positive,1,0,0
4107,Positive,2,0,2
4108,Negative,0,1,2
4109,Negative,0,1,1
4110,Neutral,0,0,1
4111,Mixed,1,1,1
4112,Negative,0,2,4
4113,Positive,2,0,2
4114,Negative,0,1,2
4115,Neutral,0,0,1
4116,Negative,0,1,0
4117,Neutral,0,0,1
4118,Neutral,0,0,2
4119,Neutral,0,0,2
4120,Neutral,0,0,1
4121,Neutral,0,0,1
4122,Neutral,0,0,1
4123,Positive,1,0,1
4124,Neutral,0,0,1
4125,Neutral,0,0,1
4126,Positive,1,0,1
4127,Negative,0,1,1
4128,Positive,2,0,0
4129,Neutral,0,0,1
4130,Negative,0,1,0
4131,Neutral,0,0,1
4132,Negative,0,1,1
4133,Negative,0,2,2
4134,Positive,1,0,5
4135,Neutral,0,0,2
4136,Positive,1,0,5
4137,Neutral,0,0,1
4138,Negative,0,1,2
4139,Positive,1,0,5
4140,Positive,1,0,0
4141,Negative,0,1,0
4142,Neutral,0,0,1
4143,Negative,0,2,0
4144,Positive,3,0,1
4145,Negative,0,1,0
4146,Negative,0,6,0
4147,Positive,2,0,0
4148,Positive,1,0,0
4149,Neutral,0,0,3
4150,Positive,1,0,3
4151,Mixed,1,1,1
4152,Neutral,0,0,1
4153,Positive,1,0,1
4154,Negative,0,1,2
4155,Neutral,0,0,1
4156,Positive,1,0,1
4157,Positive,1,0,0
4158,Positive,2,0,0
4159,Neutral,0,0,2
4160,Neutral,0,0,2
4161,Negative,0,1,1
4162,Negative,0,1,1
4163,Mixed,1,1,1
4164,Mixed,1,1,1
4165,Positive,1,0,0
4166,Neutral,0,0,3
4167,Positive,1,0,3
4168,Positive,2,0,1
4169,Negative,0,1,0
4170,Positive,3,0,1
4171,Negative,0,1,7
4172,Positive,2,0,1
4173,Negative,0,1,2
4174,Neutral,0,0,1
4175,Neutral,0,0,1
4176,Positive,1,0,2
4177,Negative,0,1,0
4178,Neutral,0,0,1
4179,Neutral,0,0,3
4180,Positive,1,0,3
4181,Neutral,0,0,1
4182,Positive,1,0,2
4183,Negative,0,2,0
4184,Mixed,1,1,1
4185,Negative,0,1,2
4186,Neutral,0,0,1
4187,Negative,0,2,3
4188,Neutral,0,0,2
4189,Neutral,0,0,2
4190,Neutral,0,0,1
4191,Neutral,0,0,1
4192,Neutral,0,0,1
4193,Neutral,0,0,1
4194,Negative,0,1,1
4195,Negative,0,2,4
4196,Neutral,0,0,2
4197,Negative,0,1,1
4198,Mixed,1,1,0
4199,Negative,0,1,0
4200,Neutral,0,0,1
4201,Neutral,0,0,1
4202,Positive,2,0,0
4203,Positive,1,0,1
4204,Neutral,0,0,1
4205,Neutral,0,0,1
4206,Neutral,0,0,1
4207,Neutral,0,0,1
4208,Neutral,0,0,1
4209,Neutral,0,0,1
4210,Positive,1,0,6
4211,Negative,0,1,0
4212,Neutral,0,0,1
4213,Neutral,0,0,3
4214,Neutral,0,0,1
4215,Negative,0,3,0
4216,Negative,0,1,0
4217,Neutral,0,0,1
4218,Positive,2,0,2
4219,Negative,0,1,2
4220,Neutral,0,0,2
4221,Mixed,2,2,1
4222,Negative,0,1,1
4223,Negative,0,1,1
4224,Neutral,0,0,1
4225,Neutral,0,0,2
4226,Negative,0,1,1
4227,Neutral,0,0,1
4228,Neutral,0,0,2
4229,Neutral,0,0,1
4230,Neutral,0,0,1
4231,Neutral,0,0,1
4232,Negative,0,1,0
4233,Positive,1,0,0
4234,Negative,0,1,0
4235,Mixed,1,1,1
4236,Positive,1,0,0
4237,Neutral,0,0,1
4238,Negative,0,1,0
4239,Positive,3,0,0
4240,Neutral,0,0,1
4241,Neutral,0,0,1
4242,Negative,0,1,1
4243,Neutral,0,0,1
4244,Neutral,0,0,1
4245,Neutral,0,0,1
4246,Neutral,0,0,1
4247,Neutral,0,0,1
4248,Neutral,0,0,1
4249,Neutral,0,0,1
4250,Neutral,0,0,1
4251,Neutral,0,0,1
4252,Neutral,0,0,1
4253,Neutral,0,0,1
4254,Neutral,0,0,1
4255,Neutral,0,0,1
4256,Neutral,0,0,1
4257,Neutral,0,0,1
4258,Neutral,0,0,1
4259,Neutral,0,0,1
4260,Neutral,0,0,1
4261,Neutral,0,0,1
4262,Neutral,0,0,1
4263,Negative,0,2,1
4264,Neutral,0,0,1
4265,Neutral,0,0,1
4266,Neutral,0,0,1
4267,Mixed,2,1,0
4268,Neutral,0,0,1
4269,Neutral,0,0,1
4270,Positive,1,0,2
4271,Positive,1,0,1
4272,Positive,1,0,0
4273,Neutral,0,0,1
4274,Mixed,1,1,0
4275,Negative,0,1,0
4276,Negative,0,2,1
4277,Negative,0,1,0
4278,Mixed,1,2,0
4279,Neutral,0,0,2
4280,Positive,1,0,0
4281,Negative,0,1,1
4282,Negative,0,3,1
4283,Neutral,0,0,3
4284,Negative,0,2,0
4285,Neutral,0,0,1
4286,Negative,0,1,2
4287,Negative,0,2,0
4288,Neutral,0,0,3
4289,Neutral,0,0,4
4290,Negative,0,1,1
4291,Negative,0,1,2
4292,Neutral,0,0,4
4293,Negative,0,1,0
4294,Positive,1,0,2
4295,Negative,0,2,0
4296,Neutral,0,0,2
4297,Neutral,0,0,2
4298,Negative,0,1,2
4299,Neutral,0,0,1
4300,Positive,1,0,2
4301,Positive,1,0,2
4302,Positive,3,0,1
4303,Negative,0,1,1
4304,Negative,0,3,2
4305,Neutral,0,0,3
4306,Negative,0,1,1
4307,Mixed,1,1,1
4308,Positive,1,0,0
4309,Positive,1,0,1
4310,Mixed,1,1,0
4311,Negative,0,1,0
4312,Neutral,0,0,3
4313,Negative,0,1,1
4314,Neutral,0,0,1
4315,Positive,1,0,1
4316,Mixed,1,1,2
4317,Negative,0,1,0
4318,Neutral,0,0,5
4319,Negative,0,1,3
4320,Positive,2,0,0
4321,Neutral,0,0,2
4322,Mixed,1,2,4
4323,Positive,1,0,0
4324,Positive,1,0,0
4325,Mixed,1,1,2
4326,Positive,2,0,0
4327,Neutral,0,0,1
4328,Negative,0,2,2
4329,Neutral,0,0,1
4330,Neutral,0,0,1
4331,Neutral,0,0,1
4332,Negative,0,1,4
4333,Mixed,1,1,0
4334,Neutral,0,0,1
4335,Neutral,0,0,1
4336,Neutral,0,0,1
4337,Neutral,0,0,1
4338,Neutral,0,0,1
4339,Neutral,0,0,1
4340,Negative,0,1,2
4341,Neutral,0,0,1
4342,Neutral,0,0,1
4343,Neutral,0,0,1
4344,Neutral,0,0,1
4345,Neutral,0,0,1
4346,Positive,1,0,0
4347,Positive,1,0,0
4348,Negative,0,3,3
4349,Neutral,0,0,4
4350,Neutral,0,0,1
4351,Neutral,0,0,1
4352,Neutral,0,0,1
4353,Negative,0,1,0
4354,Neutral,0,0,1
4355,Negative,0,1,2
4356,Neutral,0,0,2
4357,Negative,0,2,2
4358,Positive,1,0,2
4359,Negative,0,1,1
4360,Negative,0,1,1
4361,Positive,2,0,4
4362,Neutral,0,0,1
4363,Neutral,0,0,1
4364,Neutral,0,0,5
4365,Neutral,0,0,1
4366,Negative,0,1,2
4367,Neutral,0,0,1
4368,Neutral,0,0,1
4369,Neutral,0,0,1
4370,Neutral,0,0,1
4371,Negative,0,1,0
4372,Negative,0,1,0
4373,Neutral,0,0,1
